URL,Image,Price,Title,Rating,Keywords
Spalding NBA LA Lakers Team Ball,https://i5.walmartimages.com/asr/fdb4ee64-dc76-446d-8514-aaebe637d93f_1.944b1e1c6e5961570d9c8697e7d4ac5b.jpeg,$16.99,Spalding NBA LA Lakers Team Ball,4.7 out of 5,Spalding
,,,,,NBA
,,,,,LA
,,,,,Lakers
,,,,,Team
,,,,,Ball
Rico Industries NBA Economy Grill Cover LA Lakers,https://i5.walmartimages.com/asr/dc984326-d699-49bf-9884-95ee6f78b989_1.6e6add9ed1ebee780302c3fe9bafdd4a.jpeg,$29.95,"Rico Industries NBA Economy Grill Cover, LA Lakers",No rating available,NBA
,,,,,Industries
,,,,,Economy
,,,,,Grill
,,,,,Cover
,,,,,LA
,,,,,Lakers
,,,,,Cover
LA Lakers Heritage Banner,https://i5.walmartimages.com/asr/3086e5b5-ce5d-4e6b-8ea6-4c8e99d94b0d_1.a90a82a7499503a44fcda0b12d2c7685.jpeg,$20.89,LA Lakers Heritage Banner,No rating available,LA
,,,,,Lakers
,,,,,Heritage
,,,,,Banner
Heather Gray Hardwood Classics Los Angeles LA Lakers T Shirt,https://i5.walmartimages.com/asr/94b2b220-1a89-4bc1-b232-b62d4d21f5c1_1.4f5ca06f1dec0e93dcd53f17ea29e66a.jpeg,$29.95,Heather Gray Hardwood Classics Los Angeles LA Lakers T,No rating available,Heather
,,,,,Gray
,,,,,Hardwood
,,,,,Classics
,,,,,Los
,,,,,Angeles
,,,,,LA
,,,,,Lakers
,,,,,T
,,,,,Shirt
LA Lakers Superblock Purple Yellow Two Tone Snapback Adjustable PlasticCap,https://i5.walmartimages.com/asr/74c04b31-3d7c-4b98-bc0d-84dc2762966d_1.cffe5fd9cb4d13f05e608225aebc2ad8.jpeg,$29.95,LA Lakers Superblock Purple/Yellow Two Tone Snapback Adjustable PlasticCap,No rating available,LA
,,,,,Lakers
,,,,,Purple
,,,,,Yellow
,,,,,Two
,,,,,Tone
,,,,,Snapback
,,,,,Adjustable
Turner Sports 2017 22 x 17 Desk Calendar New York Knicks,https://i5.walmartimages.com/asr/7d34cac7-3bc2-4a50-9cf3-f36fe5fcc946_1.6d60a4d49bc85eaa0a505b4e73d47190.jpeg,$11.12,"Turner Sports 2017 22"" x 17"" Desk Calendar, New York Knicks",No rating available,Turner
,,,,,Sports
,,,,,Desk
,,,,,Calendar
,,,,,New
,,,,,York
,,,,,Knicks
,,,,,Calendar
NBA New York Knicks Big Men s Long Sleeve Fleece Pullover,https://i5.walmartimages.com/asr/5f2637f8-f4f4-4066-aa6e-c443c089c0cd_1.cd183e90870853978ac69053921d5ba3.jpeg,$36.96,NBA New York Knicks Big Men's Long Sleeve Fleece Pullover,No rating available,NBA
,,,,,New
,,,,,York
,,,,,Knicks
,,,,,Big
,,,,,Men
,,,,,Long
,,,,,Sleeve
,,,,,Fleece
,,,,,Pullover
,,,,,Mens
New York Knicks Logo Big Shot Snapback Cap,https://i5.walmartimages.com/asr/63abd293-3588-4a5e-9d75-26df1a6feaaa_1.2657468828b33c3509d2b170f3df0c8a.jpeg,$28.00,New York Knicks,No rating available,New
,,,,,York
,,,,,Knicks
,,,,,Logo
,,,,,Big
,,,,,Shot
,,,,,Snapback
,,,,,Cap
SkootZ Wristband New York Knicks,https://i5.walmartimages.com/asr/c1b1a98c-959c-474a-a0cd-017cdac7fc28_1.a6c7e615120c5041e21e5d2ceaadff58.jpeg,$4.70 - $5.00,"SkootZ Wristband, New York Knicks",No rating available,SkootZ
,,,,,Wristband
,,,,,New
,,,,,York
,,,,,Knicks
,,,,,Wristband
